Geography,Year,Real GDP,Nominal GDP,Population,Industry,Employed,Unemployed,Unemployment rate,All industries,Goods-producing sector,Service-producing sector,All-items,Gasoline,Real GDP per Capita,Nominal GDP per Capita
Canada,1999,1376251.0,1007927.0,30401286.0,All industries,14402.0,1181.7,0.08205110401333149,,,,92.9,84.9,45269.49945472701,33154.09091575928
Canada,1999,1376251.0,1007927.0,30401286.0,Goods-producing sector,3734.1,276.3,0.07399373342974211,,,,92.9,84.9,45269.49945472701,33154.09091575928
Canada,1999,1376251.0,1007927.0,30401286.0,Services-producing sector,10667.9,504.0,0.04724453735036886,,,,92.9,84.9,45269.49945472701,33154.09091575928
Canada,2000,1447508.0,1106071.0,30685730.0,All industries,14760.1,1081.8,0.07329218636730103,,,,95.4,103.5,47172.02426013655,36045.125861434615
Canada,2000,1447508.0,1106071.0,30685730.0,Goods-producing sector,3809.5,242.5,0.06365664785404909,,,,95.4,103.5,47172.02426013655,36045.125861434615
Canada,2000,1447508.0,1106071.0,30685730.0,Services-producing sector,10950.6,467.9,0.042728252333205485,,,,95.4,103.5,47172.02426013655,36045.125861434615
Canada,2001,1473418.0,1144543.0,31020902.0,All industries,14932.3,1161.8,0.07780449093575671,657.28,828.25,608.27,97.8,100.8,47497.58727196263,36895.8646012292
Canada,2001,1473418.0,1144543.0,31020902.0,Goods-producing sector,3766.4,283.3,0.0752177145284622,657.28,828.25,608.27,97.8,100.8,47497.58727196263,36895.8646012292
Canada,2001,1473418.0,1144543.0,31020902.0,Services-producing sector,11165.9,500.7,0.04484188466670846,657.28,828.25,608.27,97.8,100.8,47497.58727196263,36895.8646012292
Canada,2002,1517887.0,1193694.0,31360079.0,All industries,15291.3,1269.3,0.08300798493260873,673.09,849.92,623.75,100.0,100.0,48401.88699779742,38064.126050192666
Canada,2002,1517887.0,1193694.0,31360079.0,Goods-producing sector,3875.9,302.1,0.07794318738873553,673.09,849.92,623.75,100.0,100.0,48401.88699779742,38064.126050192666
Canada,2002,1517887.0,1193694.0,31360079.0,Services-producing sector,11415.5,569.9,0.049923349831369625,673.09,849.92,623.75,100.0,100.0,48401.88699779742,38064.126050192666
Canada,2003,1545232.0,1254747.0,31644028.0,All industries,15660.8,1283.3,0.08194345116469146,691.17,876.59,640.35,102.8,106.4,48831.71004652126,39651.93685203414
Canada,2003,1545232.0,1254747.0,31644028.0,Goods-producing sector,3927.8,292.9,0.07457100667040073,691.17,876.59,640.35,102.8,106.4,48831.71004652126,39651.93685203414
Canada,2003,1545232.0,1254747.0,31644028.0,Services-producing sector,11733.0,590.1,0.05029404244438763,691.17,876.59,640.35,102.8,106.4,48831.71004652126,39651.93685203414
Canada,2004,1592933.0,1335731.0,31940655.0,All industries,15915.0,1232.1,0.07741753063147973,709.3,897.99,658.3,104.7,117.6,49871.64477372177,41819.1486680533
Canada,2004,1592933.0,1335731.0,31940655.0,Goods-producing sector,3990.2,277.0,0.06942007919402536,709.3,897.99,658.3,104.7,117.6,49871.64477372177,41819.1486680533
Canada,2004,1592933.0,1335731.0,31940655.0,Services-producing sector,11924.8,565.5,0.04742217898832685,709.3,897.99,658.3,104.7,117.6,49871.64477372177,41819.1486680533
Canada,2005,1643973.0,1421590.0,32243753.0,All industries,16123.5,1168.6,0.07247805997457127,737.04,930.13,685.79,107.0,132.6,50985.78319961699,44088.85032706956
Canada,2005,1643973.0,1421590.0,32243753.0,Goods-producing sector,4000.7,264.4,0.06608843452395831,737.04,930.13,685.79,107.0,132.6,50985.78319961699,44088.85032706956
Canada,2005,1643973.0,1421590.0,32243753.0,Services-producing sector,12122.9,524.7,0.04328172302006946,737.04,930.13,685.79,107.0,132.6,50985.78319961699,44088.85032706956
Canada,2006,1687281.0,1496604.0,32571174.0,All industries,16375.0,1107.3,0.06762137404580153,755.14,947.53,704.95,109.1,139.8,51802.891722601096,45948.727546633716
Canada,2006,1687281.0,1496604.0,32571174.0,Goods-producing sector,3968.1,258.3,0.0650941256520753,755.14,947.53,704.95,109.1,139.8,51802.891722601096,45948.727546633716
Canada,2006,1687281.0,1496604.0,32571174.0,Services-producing sector,12406.9,496.8,0.040042234563025414,755.14,947.53,704.95,109.1,139.8,51802.891722601096,45948.727546633716
Canada,2007,1722238.0,1577661.0,32889025.0,All industries,16719.1,1080.9,0.06465060918350869,787.57,997.82,734.25,111.5,146.1,52365.12788080522,47969.223776016464
Canada,2007,1722238.0,1577661.0,32889025.0,Goods-producing sector,3961.6,258.1,0.06515044426494346,787.57,997.82,734.25,111.5,146.1,52365.12788080522,47969.223776016464
Canada,2007,1722238.0,1577661.0,32889025.0,Services-producing sector,12757.5,500.8,0.03925533999608074,787.57,997.82,734.25,111.5,146.1,52365.12788080522,47969.223776016464
Canada,2008,1739534.0,1657041.0,33247118.0,All industries,16959.1,1117.9,0.06591741307026908,810.2,1029.2,756.73,114.1,164.7,52321.34707134616,49840.13952728173
Canada,2008,1739534.0,1657041.0,33247118.0,Goods-producing sector,3985.7,266.1,0.06676368015655972,810.2,1029.2,756.73,114.1,164.7,52321.34707134616,49840.13952728173
