"Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
"Annual"
"Table: 36-10-0222-01 (formerly CANSIM 384-0038)"
"Geography: Canada, Province or territory"

"","","Chained (2012) dollars","Current prices"
"Geography","Reference period","Gross domestic product at market prices","Gross domestic product at market prices"
"",,"Dollars",
"Canada 1 (map)","1999","1,376,251","1,007,927"
,"2000","1,447,508","1,106,071"
,"2001","1,473,418","1,144,543"
,"2002","1,517,887","1,193,694"
,"2003","1,545,232","1,254,747"
,"2004","1,592,933","1,335,731"
,"2005","1,643,973","1,421,590"
,"2006","1,687,281","1,496,604"
,"2007","1,722,238","1,577,661"
,"2008","1,739,534","1,657,041"
,"2009","1,688,636","1,571,334"
,"2010","1,740,814","1,666,048"
,"2011","1,795,582","1,774,063"
,"2012","1,827,201","1,827,201"
,"2013","1,869,759","1,902,247"
,"2014","1,923,422","1,994,898"
,"2015","1,936,100","1,990,441"
,"2016","1,955,488","2,025,535"
,"2017","2,014,933","2,140,641"
,"2018","2,063,887","2,231,168"
,"2019","2,102,304","2,310,712"
"Newfoundland and Labrador","1999","22,144","12,371"
,"2000","23,334","14,175"
,"2001","23,894","14,464"
,"2002","27,746","16,753"
,"2003","29,562","18,438"
,"2004","29,354","19,691"
,"2005","30,187","22,292"
,"2006","31,391","24,602"
,"2007","34,929","29,087"
,"2008","34,404","31,595"
,"2009","30,954","25,022"
,"2010","32,639","29,107"
,"2011","33,531","33,562"
,"2012","32,064","32,063"
,"2013","33,748","34,491"
,"2014","33,355","34,301"
,"2015","32,965","31,161"
,"2016","33,461","31,519"
,"2017","33,953","33,690"
,"2018","32,763","33,961"
,"2019","34,075","35,349"
"Prince Edward Island","1999","4,435","3,170"
,"2000","4,554","3,394"
,"2001","4,490","3,458"
,"2002","4,705","3,715"
,"2003","4,794","3,810"
,"2004","4,951","4,039"
,"2005","5,122","4,270"
,"2006","5,261","4,436"
,"2007","5,228","4,638"
,"2008","5,284","4,761"
,"2009","5,305","4,937"
,"2010","5,412","5,231"
,"2011","5,527","5,432"
,"2012","5,586","5,586"
,"2013","5,684","5,766"
,"2014","5,690","5,858"
,"2015","5,770","6,088"
,"2016","5,894","6,376"
,"2017","6,170","6,790"
,"2018","6,324","7,033"
,"2019","6,644","7,523"
"Nova Scotia","1999","31,116","23,848"
,"2000","32,041","25,556"
,"2001","33,008","26,807"
,"2002","34,432","28,090"
,"2003","34,803","29,874"
,"2004","35,071","30,955"
,"2005","35,469","32,213"
,"2006","35,741","32,809"
,"2007","36,199","34,017"
,"2008","36,915","35,490"
,"2009","37,047","35,005"
,"2010","38,052","36,921"
,"2011","38,303","37,731"
,"2012","37,933","37,933"
,"2013","37,806","38,725"
,"2014","38,173","39,838"
,"2015","38,429","40,701"
,"2016","39,038","41,599"
,"2017","39,757","43,314"
,"2018","40,496","44,877"
,"2019","41,453","46,586"
"New Brunswick","1999","26,629","19,760"
,"2000","27,184","20,893"
