"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000)" c 1 2 3 4 5 6 7
"Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Geography: Province or territory"

"Geography","North American Industry Classification System (NAICS) 7 8","Reference period","Chained (2012) dollars 9"
"",,,"Dollars"
"Newfoundland and Labrador","Goods-producing industries  [T002] 10","1999","8,293.9"
,,"2000","9,305.3"
,,"2001","9,596.3"
,,"2002","13,434.9"
,,"2003","15,213.9"
,,"2004","14,740.4"
,,"2005","15,062.6"
,,"2006","15,804.4"
,,"2007","19,105.7"
,,"2008","18,146.2"
,,"2009","14,891.9"
,,"2010","16,048.3"
,,"2011","16,447.7"
,,"2012","14,709.0"
,,"2013","16,022.7"
,,"2014","15,384.9"
,,"2015","14,913.2"
,,"2016","15,333.4"
,,"2017","15,635.7"
,,"2018","14,359.9"
,,"2019","15,497.6"
,"Service-producing industries  [T003] 11","1999","11,370.5"
,,"2000","11,655.7"
,,"2001","11,855.9"
,,"2002","12,318.4"
,,"2003","12,588.7"
,,"2004","12,688.3"
,,"2005","13,053.3"
,,"2006","13,359.0"
,,"2007","13,432.9"
,,"2008","13,832.1"
,,"2009","13,983.9"
,,"2010","14,415.4"
,,"2011","14,917.0"
,,"2012","15,268.1"
,,"2013","15,482.4"
,,"2014","15,767.0"
,,"2015","15,875.5"
,,"2016","15,977.6"
,,"2017","16,092.1"
,,"2018","16,142.7"
,,"2019","16,310.5"
,"Industrial production  [T010] 12","1999","5,996.1"
,,"2000","7,315.5"
,,"2001","7,413.7"
,,"2002","11,565.1"
,,"2003","13,433.9"
,,"2004","12,731.6"
,,"2005","13,107.3"
,,"2006","14,014.7"
,,"2007","17,313.4"
,,"2008","16,118.6"
,,"2009","12,734.6"
,,"2010","13,641.8"
,,"2011","13,749.0"
,,"2012","11,542.6"
,,"2013","12,475.0"
,,"2014","11,556.1"
,,"2015","10,876.1"
,,"2016","11,781.5"
,,"2017","12,591.6"
,,"2018","12,308.3"
,,"2019","13,462.0"
,"Non-durable manufacturing industries  [T011] 13","1999","595.6"
,,"2000","592.5"
,,"2001","503.9"
,,"2002","588.1"
,,"2003","636.1"
,,"2004","662.9"
,,"2005","592.7"
,,"2006","649.4"
,,"2007","681.9"
,,"2008","725.4"
,,"2009","626.0"
,,"2010","611.6"
,,"2011","578.6"
,,"2012","664.2"
,,"2013","625.5"
,,"2014","570.4"
,,"2015","568.4"
,,"2016","557.1"
,,"2017","555.7"
,,"2018","523.4"
,,"2019","539.9"
,"Durable manufacturing industries  [T012] 14","1999","253.9"
,,"2000","260.6"
,,"2001","247.3"
,,"2002","210.1"
,,"2003","299.5"
,,"2004","262.8"
,,"2005","294.2"
,,"2006","212.1"
,,"2007","196.8"
,,"2008","192.9"
,,"2009","170.4"
,,"2010","191.0"
,,"2011","219.5"
,,"2012","221.1"
,,"2013","258.2"
,,"2014","292.9"
,,"2015","362.6"
,,"2016","245.9"
,,"2017","213.8"
,,"2018","252.0"
,,"2019","250.4"
,"Information and communication technology sector  [T013] 15","1999","438.4"
,,"2000","515.0"
,,"2001","505.9"
,,"2002","597.5"
,,"2003","600.0"
,,"2004","619.5"
,,"2005","617.5"
,,"2006","665.4"
,,"2007","620.5"
,,"2008","646.5"
,,"2009","637.0"
,,"2010","684.9"
,,"2011","735.9"
,,"2012","733.5"
,,"2013","699.6"
,,"2014","709.3"
,,"2015","751.4"
,,"2016","786.4"
,,"2017","821.4"
,,"2018","837.2"
,,"2019","888.1"
,"Energy sector  [T016] 16","1999","3,836.3"
,,"2000","4,930.6"
,,"2001","5,604.7"
,,"2002","10,105.9"
,,"2003","11,659.8"
,,"2004","11,092.1"
,,"2005","11,041.9"
,,"2006","11,179.1"
,,"2007","13,704.3"
,,"2008","12,788.7"
,,"2009","10,153.9"
,,"2010","10,695.0"
,,"2011","10,473.7"
,,"2012","8,131.5"
,,"2013","9,028.7"
,,"2014","8,442.8"
,,"2015","7,281.4"
,,"2016","8,561.6"
,,"2017","9,143.2"
,,"2018","9,655.9"
,,"2019","10,644.5"
,"Public sector  [T018] 17","1999","4,866.0"
,,"2000","4,977.8"
,,"2001","5,066.2"
,,"2002","5,215.4"
,,"2003","5,325.6"
,,"2004","5,317.0"
,,"2005","5,419.2"
,,"2006","5,462.2"
,,"2007","5,391.8"
,,"2008","5,568.2"
,,"2009","5,733.9"
,,"2010","5,851.9"
,,"2011","5,963.8"
,,"2012","6,004.3"
,,"2013","5,930.4"
,,"2014","5,906.4"
,,"2015","5,962.3"
,,"2016","5,985.8"
,,"2017","6,023.2"
,,"2018","6,096.4"
,,"2019","6,166.7"
,"Cannabis sector  [T021] 18","1999","14.8"
,,"2000","15.1"
,,"2001","15.9"
,,"2002","16.0"
,,"2003","16.5"
,,"2004","17.0"
,,"2005","18.0"
,,"2006","18.9"
,,"2007","19.5"
,,"2008","19.8"
,,"2009","21.1"
,,"2010","21.8"
,,"2011","23.2"
,,"2012","24.4"
,,"2013","25.7"
,,"2014","26.8"
,,"2015","26.9"
,,"2016","26.3"
,,"2017","25.8"
,,"2018","28.9"
,,"2019","33.3"
,"Agriculture, forestry, fishing and hunting  [11]","1999","451.9"
,,"2000","432.9"
,,"2001","414.2"
,,"2002","422.2"
,,"2003","443.1"
,,"2004","484.0"
,,"2005","405.9"
,,"2006","420.8"
,,"2007","426.0"
,,"2008","447.9"
,,"2009","440.2"
,,"2010","461.0"
,,"2011","454.3"
,,"2012","450.4"
,,"2013","450.2"
,,"2014","386.1"
,,"2015","378.2"
,,"2016","344.5"
,,"2017","299.6"
,,"2018","280.0"
,,"2019","283.3"
,"Mining, quarrying, and oil and gas extraction  [21]","1999","3,696.6"
,,"2000","5,347.3"
,,"2001","5,738.6"
,,"2002","10,379.1"
,,"2003","12,229.1"
,,"2004","11,420.1"
,,"2005","11,816.1"
,,"2006","12,750.6"
,,"2007","16,188.1"
,,"2008","14,856.2"
,,"2009","11,506.9"
,,"2010","12,419.2"
,,"2011","12,553.6"
,,"2012","10,040.6"
,,"2013","11,076.9"
,,"2014","10,178.4"
,,"2015","9,252.9"
,,"2016","10,616.2"
,,"2017","11,632.8"
,,"2018","11,267.2"
,,"2019","12,519.7"
,"Utilities  [22]","1999","487.6"
,,"2000","452.7"
,,"2001","442.8"
,,"2002","475.2"
,,"2003","482.2"
,,"2004","494.8"
,,"2005","538.4"
,,"2006","560.8"
,,"2007","553.5"
,,"2008","569.9"
,,"2009","518.4"
,,"2010","578.4"
,,"2011","589.3"
,,"2012","584.8"
,,"2013","563.8"
,,"2014","556.1"
,,"2015","608.4"
,,"2016","622.6"
,,"2017","634.1"
,,"2018","657.4"
,,"2019","657.9"
,"Construction  [23]","1999","1,466.0"
,,"2000","1,272.2"
,,"2001","1,511.8"
,,"2002","1,382.2"
,,"2003","1,337.9"
,,"2004","1,462.8"
,,"2005","1,546.1"
,,"2006","1,331.4"
,,"2007","1,288.3"
,,"2008","1,561.6"
,,"2009","1,680.1"
,,"2010","1,891.2"
,,"2011","2,204.8"
,,"2012","2,747.9"
,,"2013","3,144.1"
,,"2014","3,494.0"
,,"2015","3,610.8"
,,"2016","3,446.5"
,,"2017","3,271.5"
,,"2018","2,515.5"
,,"2019","2,622.8"
,"Manufacturing  [31-33]","1999","836.3"
,,"2000","839.1"
,,"2001","734.0"
,,"2002","795.1"
,,"2003","922.9"
,,"2004","917.8"
,,"2005","874.7"
,,"2006","866.0"
,,"2007","889.3"
,,"2008","934.4"
,,"2009","809.1"
,,"2010","807.3"
,,"2011","787.9"
,,"2012","885.3"
,,"2013","868.2"
,,"2014","828.1"
,,"2015","891.6"
,,"2016","781.9"
,,"2017","755.1"
,,"2018","756.5"
,,"2019","770.6"
,"Wholesale trade  [41]","1999","373.4"
,,"2000","381.4"
,,"2001","384.4"
,,"2002","394.5"
,,"2003","406.2"
,,"2004","420.2"
,,"2005","432.0"
,,"2006","449.1"
,,"2007","480.7"
,,"2008","505.0"
,,"2009","473.6"
,,"2010","531.2"
,,"2011","643.1"
,,"2012","687.9"
,,"2013","732.8"
,,"2014","738.3"
,,"2015","715.8"
,,"2016","684.2"
,,"2017","670.0"
,,"2018","652.6"
,,"2019","643.7"
,"Retail trade  [44-45]","1999","887.1"
,,"2000","945.1"
,,"2001","989.8"
,,"2002","1,047.5"
,,"2003","1,076.3"
,,"2004","1,107.7"
,,"2005","1,145.0"
,,"2006","1,191.7"
,,"2007","1,261.7"
,,"2008","1,325.8"
,,"2009","1,347.5"
,,"2010","1,400.7"
,,"2011","1,434.5"
,,"2012","1,477.1"
,,"2013","1,585.3"
,,"2014","1,617.6"
,,"2015","1,584.1"
,,"2016","1,588.8"
,,"2017","1,587.7"
,,"2018","1,539.7"
,,"2019","1,526.8"
,"Transportation and warehousing  [48-49]","1999","611.6"
,,"2000","611.4"
,,"2001","608.3"
,,"2002","612.2"
,,"2003","662.5"
,,"2004","633.7"
,,"2005","695.2"
,,"2006","716.5"
,,"2007","708.2"
,,"2008","722.3"
,,"2009","665.0"
,,"2010","693.3"
,,"2011","717.0"
,,"2012","762.8"
,,"2013","776.2"
,,"2014","851.1"
,,"2015","881.8"
,,"2016","918.2"
,,"2017","968.2"
,,"2018","940.6"
,,"2019","965.4"
,"Information and cultural industries  [51]","1999","486.5"
,,"2000","552.4"
,,"2001","540.7"
,,"2002","627.5"
,,"2003","619.7"
,,"2004","619.0"
,,"2005","606.7"
,,"2006","661.0"
,,"2007","612.1"
,,"2008","613.8"
,,"2009","642.3"
,,"2010","680.6"
,,"2011","691.8"
,,"2012","687.7"
,,"2013","661.3"
,,"2014","677.0"
,,"2015","712.0"
,,"2016","738.6"
,,"2017","742.0"
,,"2018","736.9"
,,"2019","747.8"
,"Finance and insurance  [52]","1999","785.8"
,,"2000","748.2"
,,"2001","725.3"
,,"2002","738.8"
,,"2003","720.7"
,,"2004","735.8"
,,"2005","765.3"
,,"2006","808.3"
,,"2007","814.9"
,,"2008","834.2"
,,"2009","811.6"
,,"2010","828.6"
,,"2011","859.9"
,,"2012","877.0"
,,"2013","889.0"
,,"2014","880.6"
,,"2015","900.5"
,,"2016","913.5"
,,"2017","918.1"
,,"2018","901.8"
,,"2019","924.2"
,"Real estate and rental and leasing  [53]","1999","1,699.4"
,,"2000","1,725.7"
,,"2001","1,747.9"
,,"2002","1,777.4"
,,"2003","1,843.3"
,,"2004","1,866.2"
,,"2005","1,973.9"
,,"2006","2,018.2"
,,"2007","2,050.8"
,,"2008","2,112.1"
,,"2009","2,168.0"
,,"2010","2,232.0"
,,"2011","2,321.4"
,,"2012","2,412.2"
,,"2013","2,530.1"
,,"2014","2,653.7"
,,"2015","2,724.0"
,,"2016","2,756.0"
,,"2017","2,790.0"
,,"2018","2,843.8"
,,"2019","2,860.9"
,"Professional, scientific and technical services  [54]","1999","582.3"
,,"2000","618.1"
,,"2001","643.2"
,,"2002","668.8"
,,"2003","669.1"
,,"2004","664.5"
,,"2005","716.8"
,,"2006","725.9"
,,"2007","723.2"
,,"2008","762.6"
,,"2009","728.2"
,,"2010","735.2"
,,"2011","779.2"
,,"2012","815.2"
,,"2013","803.0"
,,"2014","855.9"
,,"2015","824.8"
,,"2016","818.8"
,,"2017","824.6"
,,"2018","869.6"
,,"2019","880.2"
,"Management of companies and enterprises  [55]","1999","83.1"
,,"2000","98.5"
,,"2001","122.8"
,,"2002","137.4"
,,"2003","142.5"
,,"2004","144.1"
,,"2005","103.8"
,,"2006","103.7"
,,"2007","112.2"
,,"2008","117.5"
,,"2009","122.4"
,,"2010","112.8"
,,"2011","122.2"
,,"2012","131.7"
,,"2013","127.9"
,,"2014","117.4"
,,"2015","114.8"
,,"2016","96.9"
,,"2017","89.1"
,,"2018","76.5"
,,"2019","63.5"
,"Administrative and support, waste management and remediation services  [56]","1999","232.1"
,,"2000","226.6"
,,"2001","251.9"
,,"2002","259.0"
,,"2003","264.6"
,,"2004","287.9"
,,"2005","316.2"
,,"2006","336.0"
,,"2007","365.0"
