Geography,Industry,Year,Industry GDP
Newfoundland and Labrador,Goods-producing industries,1999,8293.9
Newfoundland and Labrador,Goods-producing industries,2000,9305.3
Newfoundland and Labrador,Goods-producing industries,2001,9596.3
Newfoundland and Labrador,Goods-producing industries,2002,13434.9
Newfoundland and Labrador,Goods-producing industries,2003,15213.9
Newfoundland and Labrador,Goods-producing industries,2004,14740.4
Newfoundland and Labrador,Goods-producing industries,2005,15062.6
Newfoundland and Labrador,Goods-producing industries,2006,15804.4
Newfoundland and Labrador,Goods-producing industries,2007,19105.7
Newfoundland and Labrador,Goods-producing industries,2008,18146.2
Newfoundland and Labrador,Goods-producing industries,2009,14891.9
Newfoundland and Labrador,Goods-producing industries,2010,16048.3
Newfoundland and Labrador,Goods-producing industries,2011,16447.7
Newfoundland and Labrador,Goods-producing industries,2012,14709.0
Newfoundland and Labrador,Goods-producing industries,2013,16022.7
Newfoundland and Labrador,Goods-producing industries,2014,15384.9
Newfoundland and Labrador,Goods-producing industries,2015,14913.2
Newfoundland and Labrador,Goods-producing industries,2016,15333.4
Newfoundland and Labrador,Goods-producing industries,2017,15635.7
Newfoundland and Labrador,Goods-producing industries,2018,14359.9
Newfoundland and Labrador,Goods-producing industries,2019,15497.6
Newfoundland and Labrador,Service-producing industries,1999,11370.5
Newfoundland and Labrador,Service-producing industries,2000,11655.7
Newfoundland and Labrador,Service-producing industries,2001,11855.9
Newfoundland and Labrador,Service-producing industries,2002,12318.4
Newfoundland and Labrador,Service-producing industries,2003,12588.7
Newfoundland and Labrador,Service-producing industries,2004,12688.3
Newfoundland and Labrador,Service-producing industries,2005,13053.3
Newfoundland and Labrador,Service-producing industries,2006,13359.0
Newfoundland and Labrador,Service-producing industries,2007,13432.9
Newfoundland and Labrador,Service-producing industries,2008,13832.1
Newfoundland and Labrador,Service-producing industries,2009,13983.9
Newfoundland and Labrador,Service-producing industries,2010,14415.4
Newfoundland and Labrador,Service-producing industries,2011,14917.0
Newfoundland and Labrador,Service-producing industries,2012,15268.1
Newfoundland and Labrador,Service-producing industries,2013,15482.4
Newfoundland and Labrador,Service-producing industries,2014,15767.0
Newfoundland and Labrador,Service-producing industries,2015,15875.5
Newfoundland and Labrador,Service-producing industries,2016,15977.6
Newfoundland and Labrador,Service-producing industries,2017,16092.1
Newfoundland and Labrador,Service-producing industries,2018,16142.7
Newfoundland and Labrador,Service-producing industries,2019,16310.5
Newfoundland and Labrador,Industrial production,1999,5996.1
Newfoundland and Labrador,Industrial production,2000,7315.5
Newfoundland and Labrador,Industrial production,2001,7413.7
Newfoundland and Labrador,Industrial production,2002,11565.1
Newfoundland and Labrador,Industrial production,2003,13433.9
Newfoundland and Labrador,Industrial production,2004,12731.6
Newfoundland and Labrador,Industrial production,2005,13107.3
Newfoundland and Labrador,Industrial production,2006,14014.7
Newfoundland and Labrador,Industrial production,2007,17313.4
Newfoundland and Labrador,Industrial production,2008,16118.6
Newfoundland and Labrador,Industrial production,2009,12734.6
Newfoundland and Labrador,Industrial production,2010,13641.8
Newfoundland and Labrador,Industrial production,2011,13749.0
Newfoundland and Labrador,Industrial production,2012,11542.6
Newfoundland and Labrador,Industrial production,2013,12475.0
Newfoundland and Labrador,Industrial production,2014,11556.1
Newfoundland and Labrador,Industrial production,2015,10876.1
Newfoundland and Labrador,Industrial production,2016,11781.5
Newfoundland and Labrador,Industrial production,2017,12591.6
Newfoundland and Labrador,Industrial production,2018,12308.3
Newfoundland and Labrador,Industrial production,2019,13462.0
Newfoundland and Labrador,Non-durable manufacturing industries,1999,595.6
Newfoundland and Labrador,Non-durable manufacturing industries,2000,592.5
Newfoundland and Labrador,Non-durable manufacturing industries,2001,503.9
Newfoundland and Labrador,Non-durable manufacturing industries,2002,588.1
Newfoundland and Labrador,Non-durable manufacturing industries,2003,636.1
Newfoundland and Labrador,Non-durable manufacturing industries,2004,662.9
Newfoundland and Labrador,Non-durable manufacturing industries,2005,592.7
Newfoundland and Labrador,Non-durable manufacturing industries,2006,649.4
Newfoundland and Labrador,Non-durable manufacturing industries,2007,681.9
Newfoundland and Labrador,Non-durable manufacturing industries,2008,725.4
Newfoundland and Labrador,Non-durable manufacturing industries,2009,626.0
Newfoundland and Labrador,Non-durable manufacturing industries,2010,611.6
Newfoundland and Labrador,Non-durable manufacturing industries,2011,578.6
Newfoundland and Labrador,Non-durable manufacturing industries,2012,664.2
Newfoundland and Labrador,Non-durable manufacturing industries,2013,625.5
Newfoundland and Labrador,Non-durable manufacturing industries,2014,570.4
Newfoundland and Labrador,Non-durable manufacturing industries,2015,568.4
Newfoundland and Labrador,Non-durable manufacturing industries,2016,557.1
Newfoundland and Labrador,Non-durable manufacturing industries,2017,555.7
Newfoundland and Labrador,Non-durable manufacturing industries,2018,523.4
Newfoundland and Labrador,Non-durable manufacturing industries,2019,539.9
Newfoundland and Labrador,Durable manufacturing industries,1999,253.9
Newfoundland and Labrador,Durable manufacturing industries,2000,260.6
Newfoundland and Labrador,Durable manufacturing industries,2001,247.3
Newfoundland and Labrador,Durable manufacturing industries,2002,210.1
Newfoundland and Labrador,Durable manufacturing industries,2003,299.5
Newfoundland and Labrador,Durable manufacturing industries,2004,262.8
Newfoundland and Labrador,Durable manufacturing industries,2005,294.2
Newfoundland and Labrador,Durable manufacturing industries,2006,212.1
Newfoundland and Labrador,Durable manufacturing industries,2007,196.8
Newfoundland and Labrador,Durable manufacturing industries,2008,192.9
Newfoundland and Labrador,Durable manufacturing industries,2009,170.4
Newfoundland and Labrador,Durable manufacturing industries,2010,191.0
Newfoundland and Labrador,Durable manufacturing industries,2011,219.5
Newfoundland and Labrador,Durable manufacturing industries,2012,221.1
Newfoundland and Labrador,Durable manufacturing industries,2013,258.2
Newfoundland and Labrador,Durable manufacturing industries,2014,292.9
Newfoundland and Labrador,Durable manufacturing industries,2015,362.6
Newfoundland and Labrador,Durable manufacturing industries,2016,245.9
Newfoundland and Labrador,Durable manufacturing industries,2017,213.8
Newfoundland and Labrador,Durable manufacturing industries,2018,252.0
Newfoundland and Labrador,Durable manufacturing industries,2019,250.4
Newfoundland and Labrador,Information and communication technology sector,1999,438.4
Newfoundland and Labrador,Information and communication technology sector,2000,515.0
Newfoundland and Labrador,Information and communication technology sector,2001,505.9
Newfoundland and Labrador,Information and communication technology sector,2002,597.5
Newfoundland and Labrador,Information and communication technology sector,2003,600.0
Newfoundland and Labrador,Information and communication technology sector,2004,619.5
Newfoundland and Labrador,Information and communication technology sector,2005,617.5
Newfoundland and Labrador,Information and communication technology sector,2006,665.4
Newfoundland and Labrador,Information and communication technology sector,2007,620.5
Newfoundland and Labrador,Information and communication technology sector,2008,646.5
Newfoundland and Labrador,Information and communication technology sector,2009,637.0
Newfoundland and Labrador,Information and communication technology sector,2010,684.9
Newfoundland and Labrador,Information and communication technology sector,2011,735.9
Newfoundland and Labrador,Information and communication technology sector,2012,733.5
Newfoundland and Labrador,Information and communication technology sector,2013,699.6
Newfoundland and Labrador,Information and communication technology sector,2014,709.3
Newfoundland and Labrador,Information and communication technology sector,2015,751.4
Newfoundland and Labrador,Information and communication technology sector,2016,786.4
Newfoundland and Labrador,Information and communication technology sector,2017,821.4
Newfoundland and Labrador,Information and communication technology sector,2018,837.2
Newfoundland and Labrador,Information and communication technology sector,2019,888.1
Newfoundland and Labrador,Energy sector,1999,3836.3
Newfoundland and Labrador,Energy sector,2000,4930.6
Newfoundland and Labrador,Energy sector,2001,5604.7
Newfoundland and Labrador,Energy sector,2002,10105.9
Newfoundland and Labrador,Energy sector,2003,11659.8
Newfoundland and Labrador,Energy sector,2004,11092.1
Newfoundland and Labrador,Energy sector,2005,11041.9
Newfoundland and Labrador,Energy sector,2006,11179.1
Newfoundland and Labrador,Energy sector,2007,13704.3
Newfoundland and Labrador,Energy sector,2008,12788.7
Newfoundland and Labrador,Energy sector,2009,10153.9
Newfoundland and Labrador,Energy sector,2010,10695.0
Newfoundland and Labrador,Energy sector,2011,10473.7
Newfoundland and Labrador,Energy sector,2012,8131.5
Newfoundland and Labrador,Energy sector,2013,9028.7
Newfoundland and Labrador,Energy sector,2014,8442.8
Newfoundland and Labrador,Energy sector,2015,7281.4
Newfoundland and Labrador,Energy sector,2016,8561.6
Newfoundland and Labrador,Energy sector,2017,9143.2
Newfoundland and Labrador,Energy sector,2018,9655.9
Newfoundland and Labrador,Energy sector,2019,10644.5
Newfoundland and Labrador,Public sector,1999,4866.0
Newfoundland and Labrador,Public sector,2000,4977.8
Newfoundland and Labrador,Public sector,2001,5066.2
Newfoundland and Labrador,Public sector,2002,5215.4
Newfoundland and Labrador,Public sector,2003,5325.6
Newfoundland and Labrador,Public sector,2004,5317.0
Newfoundland and Labrador,Public sector,2005,5419.2
Newfoundland and Labrador,Public sector,2006,5462.2
Newfoundland and Labrador,Public sector,2007,5391.8
Newfoundland and Labrador,Public sector,2008,5568.2
Newfoundland and Labrador,Public sector,2009,5733.9
Newfoundland and Labrador,Public sector,2010,5851.9
Newfoundland and Labrador,Public sector,2011,5963.8
Newfoundland and Labrador,Public sector,2012,6004.3
Newfoundland and Labrador,Public sector,2013,5930.4
Newfoundland and Labrador,Public sector,2014,5906.4
Newfoundland and Labrador,Public sector,2015,5962.3
Newfoundland and Labrador,Public sector,2016,5985.8
Newfoundland and Labrador,Public sector,2017,6023.2
Newfoundland and Labrador,Public sector,2018,6096.4
Newfoundland and Labrador,Public sector,2019,6166.7
Newfoundland and Labrador,Cannabis sector,1999,14.8
Newfoundland and Labrador,Cannabis sector,2000,15.1
Newfoundland and Labrador,Cannabis sector,2001,15.9
Newfoundland and Labrador,Cannabis sector,2002,16.0
Newfoundland and Labrador,Cannabis sector,2003,16.5
Newfoundland and Labrador,Cannabis sector,2004,17.0
Newfoundland and Labrador,Cannabis sector,2005,18.0
Newfoundland and Labrador,Cannabis sector,2006,18.9
Newfoundland and Labrador,Cannabis sector,2007,19.5
Newfoundland and Labrador,Cannabis sector,2008,19.8
Newfoundland and Labrador,Cannabis sector,2009,21.1
